season,team,player_seasons,total_value_above_expected_salary,mean_value_above_expected_salary,median_value_above_expected_salary,total_salary_millions,median_salary_millions,mean_value_score,high_efficiency_players,low_efficiency_players
2020,HOU,10,2.21137442612,0.221137442612,0.392928335774,141.119593,6.8157375,0.378323339289,5,2
2021,IND,10,2.15675862328,0.215675862328,-0.0770048711279,106.559225,5.584991,0.55045804635,2,2
2017,ATL,10,2.0391850332,0.20391850332,0.0659667436306,128.891641,6.0835185,0.512032300975,3,2
2020,SF,11,1.96130203841,0.17830018531,0.174027220233,46.178793,1.595661,0.110022945427,5,2
2018,TB,11,1.95106899886,0.177369908988,0.384200428425,95.173758,5.002651,0.340486002988,6,2
2023,HOU,13,1.83474894429,0.141134534176,0.449863004629,55.559199,2.918752,0.223028869826,7,4
2016,IND,11,1.8319320917,0.166539281063,0.154412698838,111.86064,3.241484,0.399226934024,3,2
2025,DEN,11,1.81952845041,0.16541167731,0.0680657062586,58.835884,2.032777,0.317140253361,2,1
2021,CLE,11,1.75939306205,0.159944823823,0.434961382688,96.000379,3.923852,0.369925548164,7,2
2022,ATL,13,1.72574339609,0.132749492007,0.0975089099286,57.8702,1.717939,0.188236353477,5,1
2025,KC,12,1.68570496007,0.140475413339,0.255329211577,117.345827,1.8969315,0.295111627611,5,3
2016,DET,8,1.52600711706,0.190750889632,-0.0399363988921,53.20588,6.134811,0.364907996231,3,1
2019,PHI,9,1.43859971575,0.159844412862,-0.159932959782,101.272818,2.144662,0.295280521426,2,1
2016,LV,12,1.34123915594,0.111769929662,0.0843609473902,48.855748,1.5723575,0.210736959937,3,2
2021,BAL,11,1.31602785125,0.119638895568,-0.142003362635,55.736839,1.774192,0.187588436212,1,3
2021,LAC,12,1.26276592072,0.105230493393,-0.0180433012624,71.526587,1.812271,0.245553262743,3,2
2020,NE,9,1.08933619772,0.121037355302,0.0370457445992,20.668205,2.431483,0.0305286183951,3,2
2019,SEA,10,1.08677183679,0.108677183679,0.0833103685333,88.497106,1.672167,0.162700147483,3,3
2023,IND,12,1.08234265073,0.0901952208943,0.113730183734,48.547417,1.7882305,0.186977695891,4,0
2021,NE,11,1.06767993582,0.0970618123474,0.292792811543,87.2423,4.040412,0.331930751078,4,3
2020,IND,9,1.02634980804,0.11403886756,0.00990745314542,61.835563,1.405701,0.15534150066,2,2
2016,MIA,10,1.00780989253,0.100780989253,0.103775951541,58.551046,1.6241785,0.217277178037,2,2
2018,GB,10,0.895916642636,0.0895916642636,-0.104666583545,131.015024,2.5784545,0.304762531522,2,3
2025,NYG,9,0.881302689653,0.0979225210725,-0.0468777767692,33.96603,1.610564,0.212226079194,2,1
2023,KC,12,0.867535354514,0.0722946128762,-0.209160015212,127.495419,2.3053615,0.277438773257,3,4
2022,SEA,11,0.825430412902,0.0750391284457,0.277845272398,96.309349,3.053079,0.296499658914,4,2
2016,CHI,7,0.798122405824,0.114017486546,0.494283800483,50.005044,1.507914,0.1832951445,3,2
2022,LAC,12,0.689213682999,0.0574344735833,0.151936143078,99.569704,2.30397,0.203243047107,4,2
2017,JAX,11,0.620883976099,0.0564439978272,0.174330097425,73.897033,3.107952,0.218191196604,2,1
2016,SEA,11,0.574805348764,0.0522550317059,0.00205113504661,110.358176,1.744151,0.208679307986,4,3
2023,MIN,10,0.568251574917,0.0568251574917,0.0567590409635,53.691486,3.173258,0.213860577444,4,3
2024,ATL,10,0.561166530514,0.0561166530514,0.105498984965,109.292958,6.0363185,0.389083656706,4,3
2017,SEA,12,0.557743402672,0.0464786168893,0.019318976035,112.352771,2.206198,0.170406409425,4,3
2017,MIN,10,0.505761954592,0.0505761954592,0.192534457948,57.058237,4.2126355,0.212581376062,5,4
2022,BAL,10,0.467336891309,0.0467336891309,0.108579289927,42.835619,1.6990785,0.0806974062109,3,3
2017,DET,9,0.4582028445,0.0509114271667,-0.186929188242,99.333655,6.935044,0.332245949003,4,2
2024,MIA,11,0.352699159009,0.0320635599099,-0.24414549421,155.555665,4.870619,0.282141898839,4,4
2023,CIN,14,0.299404735466,0.0213860525333,-0.171179625858,112.41789,1.582502,0.0436416426824,5,3
2016,TEN,11,0.287693609308,0.0261539644825,-0.108857512635,75.455828,7.761494,0.204721676046,3,2
2016,MIN,9,0.285167059108,0.0316852287898,-0.199933872503,65.611448,1.629471,0.191853749912,3,3
2022,LV,11,0.264002126679,0.0240001933345,0.0791513176315,164.240158,3.623948,0.267319035821,1,1
2018,NYG,11,0.187576014272,0.0170523649338,0.0834129274279,111.194772,2.88289,0.111596059264,2,2
2018,DAL,11,0.175146107352,0.0159223733956,-0.0153266184362,51.062437,1.497493,0.112179231505,3,2
2019,ATL,11,0.166636376454,0.0151487614958,0.325604407962,118.023053,2.046878,0.132731306352,4,2
2024,MIN,12,0.055147162176,0.004595596848,-0.267317649322,108.446146,3.479148,0.243034639472,4,2
2023,CHI,11,0.044408850523,0.00403716822936,-0.345964358302,70.114973,1.955168,0.142269562335,2,2
2020,LV,12,0.0407883246744,0.0033990270562,-0.0973299560499,90.064948,3.915814,0.126346578646,4,4
2025,WAS,13,0.0334390137213,0.00257223182472,-0.0257769762287,66.74194,1.44289,-0.0509993230025,4,2
2023,SEA,10,-0.0248813512644,-0.00248813512644,-0.0278647100102,122.682423,3.941182,0.354309957739,2,0
2019,TB,11,-0.0970913923923,-0.00882649021748,-0.189045943792,63.166431,3.00517,0.106481620795,2,3
2016,ARI,9,-0.251042619665,-0.0278936244072,-0.150813772025,84.517567,1.58464,0.144859075414,1,2
2019,NE,13,-0.30000665913,-0.0230774353177,-0.0139502865688,96.895026,4.090803,0.050656095408,3,2
2025,BAL,14,-0.31750152933,-0.0226786806664,-0.178121167411,137.267594,2.9017265,0.134595686196,2,3
2025,JAX,11,-0.354612389665,-0.0322374899695,-0.159294593301,114.450688,2.696991,0.150601836134,2,3
2019,CAR,9,-0.400412402843,-0.0444902669826,-0.258710618517,38.388971,2.909944,-0.00150851171186,2,3
2020,LAC,13,-0.422754976688,-0.0325196135914,0.077760221746,84.480482,1.381125,0.0517952523984,3,3
2021,MIN,9,-0.476691193053,-0.052965688117,0.0858187880939,107.724261,1.860838,0.218410373103,2,3
2018,CLE,11,-0.508897598132,-0.046263418012,0.189265769409,70.046273,3.137399,0.0963695607891,2,3
2020,MIA,14,-0.511239550677,-0.0365171107626,-0.114526717157,64.757616,2.287442,-0.0585251300595,4,4
2025,LAC,12,-0.519698691628,-0.0433082243023,-0.126574412552,100.316673,2.5276615,0.0401380285232,3,4
2016,KC,12,-0.527971879945,-0.0439976566621,-0.560667770455,96.378936,2.178711,0.10301055609,2,6
2022,TEN,10,-0.537553491732,-0.0537553491732,-0.273982132682,113.554692,5.130236,0.218292503677,3,4
2024,PIT,12,-0.573155839739,-0.0477629866449,-0.0532741837802,43.535032,1.658825,-0.0188497930691,3,3
2019,DET,9,-0.575611836014,-0.0639568706683,-0.256769630131,93.493905,7.201913,0.13704668693,3,3
2025,PIT,14,-0.599597609819,-0.0428284007014,-0.0355257366565,101.808005,2.179169,0.109085867543,4,4
2018,CIN,11,-0.623356828944,-0.0566688026312,-0.286277913553,98.505146,2.457469,0.0306151309054,3,2
2019,DEN,9,-0.682339928574,-0.0758155476193,-0.33365833298,20.846526,1.189801,-0.080982028186,2,4
2023,TEN,11,-0.686090036672,-0.0623718215156,-0.110322228062,99.268994,1.839157,0.0303417161319,2,1
2017,HOU,10,-0.692183862736,-0.0692183862736,-0.038023405641,56.04512,1.448494,-0.112293711553,2,2
2017,CAR,12,-0.782126511163,-0.0651772092635,-0.0770237089438,87.994989,3.83744,0.0377758083661,3,2
2018,HOU,8,-0.892091835646,-0.111511479456,0.0967379113161,57.718879,3.4532895,0.0492406968447,3,3
2016,CLE,10,-0.970710170064,-0.0970710170064,-0.48595016693,33.343735,1.63772,-0.0425079818534,3,1
2020,ATL,13,-1.03626636875,-0.0797127975958,-0.182260602057,114.792392,1.595661,-0.00412633950023,3,4
2025,MIA,12,-1.11428718511,-0.0928572654259,-0.253296637324,110.950684,1.3896865,-0.0650750009113,3,5
2017,SF,12,-1.17012432427,-0.0975103603556,0.180637407003,50.4171,1.6505485,-0.0792495270061,3,3
2019,JAX,7,-1.19302492151,-0.170432131645,-0.0379786722703,22.429959,1.387037,-0.0914180530562,3,2
2018,BAL,13,-1.24988962654,-0.0961453558875,-0.331402352569,87.794036,2.129893,-0.0138985574529,3,5
2017,WAS,9,-1.32155036066,-0.146838928962,-0.251470912095,82.657119,4.873692,0.0314921679216,2,3
2016,PHI,12,-1.39653479392,-0.116377899493,-0.220714255183,69.158726,3.936584,0.0276219532617,2,3
2018,CHI,10,-1.41024793461,-0.141024793461,-0.047101250285,72.165552,2.758245,0.0080450010259,4,3
2018,LV,10,-1.58059654003,-0.158059654003,0.0193208769215,90.953834,4.1219525,0.0015664762864,1,4
2019,LA,11,-1.59547198803,-0.145042908003,-0.331956539788,140.638238,2.725431,0.125995749621,3,3
2020,ARI,11,-1.66151464598,-0.151046785999,-0.182817069822,95.596227,1.852441,-0.0594314234022,2,5
2019,CLE,11,-1.67085502256,-0.151895911142,-0.0644699720813,84.828038,1.760468,-0.0478865221875,2,3
2019,IND,13,-1.67848245538,-0.129114035029,-0.000277635963906,108.062245,1.147875,-0.0638665525798,2,4
2020,DET,9,-1.75662588885,-0.195180654316,-0.113593607089,96.098659,7.598385,0.00408317724957,0,2
2023,TB,8,-1.76354536926,-0.220443171157,-0.196228964884,43.396084,1.6437775,-0.0221066567488,1,4
2020,JAX,10,-1.79527798037,-0.179527798037,-0.11719554662,27.081516,1.835148,-0.17088506379,1,2
2025,HOU,11,-1.87293670268,-0.17026697297,0.0150242159287,94.344766,2.696991,0.0594426264082,4,4
2025,ATL,10,-1.90880176464,-0.190880176464,-0.390845977248,100.1395,4.856608,-0.12691911282,2,3
2022,GB,12,-1.93312270244,-0.161093558537,-0.292485095857,122.744763,3.0092925,-0.00183177312941,3,4
2017,NYJ,10,-1.99866890816,-0.199866890816,-0.079193279635,47.304738,4.0126105,-0.147169259557,3,4
2021,DEN,11,-2.0068286907,-0.182438971881,0.0620917453941,92.663774,5.037628,0.062143184176,3,4
2017,BUF,10,-2.09368335531,-0.209368335531,-0.113764720483,75.311526,2.9295535,-0.126172563723,2,2
2025,PHI,11,-2.10030831743,-0.190937119766,-0.321727126319,181.480915,5.442561,0.120207599012,4,4
2021,MIA,11,-2.12377288486,-0.19307026226,-0.114475770772,61.200698,2.809695,-0.0965114367928,3,2
2017,GB,13,-2.15806208836,-0.166004776028,-0.266037421478,95.959132,1.549723,-0.122776169055,3,4
2017,DAL,11,-2.22565915689,-0.202332650627,-0.0970160989689,82.635618,5.334578,0.000548887369927,3,4
2023,NO,11,-2.2302378059,-0.202748891445,-0.12103517011,132.53456,6.970086,0.0326504283761,2,3
2022,DAL,11,-2.24098716092,-0.203726105538,-0.670369116408,136.342725,1.717939,0.0168200306543,2,6
2023,DEN,10,-2.24262195738,-0.224262195738,-0.160799006143,118.035234,2.845406,0.0179347020753,3,3
2020,WAS,9,-2.29635072455,-0.255150080505,-0.374194104464,55.921627,1.874005,-0.231791479912,1,4
2017,CHI,9,-2.30437367997,-0.256041519997,0.111273434375,43.59578,3.607186,-0.234979258552,1,4
2017,LV,11,-2.32276910503,-0.21116082773,-0.320983423387,116.644451,8.116168,0.0747606832045,1,4
2022,MIN,12,-2.3679856028,-0.197332133567,-0.260251762215,119.229281,3.652801,0.0682050008609,2,4
2019,ARI,13,-2.43597223033,-0.187382479256,-0.0563722092863,72.310074,1.852441,-0.140947472224,2,5
2020,CIN,9,-2.46630008555,-0.274033342839,-0.552321757003,77.647078,3.300278,-0.0522587585011,2,5
2019,BUF,12,-2.55426040081,-0.212855033401,-0.245210135594,62.95477,3.440914,-0.17541142123,1,4
2024,SEA,12,-2.58731745078,-0.215609787565,-0.230248248332,117.706024,3.413462,-0.00702722998572,1,4
2023,ARI,11,-2.62806847637,-0.238915316033,-0.335100465794,95.623848,2.278407,-0.193695439906,3,4
2020,CAR,8,-2.66658383492,-0.333322979366,-0.147961398222,63.874938,3.8285615,-0.120163552827,1,4
2018,TEN,12,-2.71350299413,-0.226125249511,-0.285248526243,47.766115,1.720405,-0.221516926994,2,3
2024,NO,14,-2.80095653051,-0.200068323608,-0.0980691471619,119.114113,4.3749975,-0.198324590296,2,4
2021,LV,11,-2.86729899572,-0.260663545066,-0.120569277806,93.675686,4.774628,-0.0901487419327,1,3
2022,PIT,13,-2.8771291442,-0.221317626477,-0.384439512817,55.286979,2.442074,-0.09402200531,3,6
2020,NYG,10,-2.88180100382,-0.288180100382,-0.152534871916,54.786965,1.97558,-0.201079809237,1,2
2022,NO,11,-2.90385613547,-0.263986921406,0.182678837114,67.617884,4.340058,-0.20166688605,4,4
2021,DET,10,-2.92098788456,-0.292098788456,-0.249116279148,82.396318,3.0661595,-0.170993589379,2,4
2019,NYG,10,-2.92768988462,-0.292768988462,-0.403440394092,74.088478,6.474571,-0.227063482877,1,4
2024,LA,12,-2.95545546298,-0.246287955248,-0.375285188991,122.641415,1.874719,-0.0947383046893,1,4
2018,DEN,12,-3.09643313892,-0.25803609491,-0.216359503668,93.30975,1.368976,-0.184197108324,0,4
2022,CHI,11,-3.12289750189,-0.283899772899,-0.389653912595,30.98812,1.808357,-0.234666132216,1,3
2024,DEN,13,-3.2809979118,-0.252384454754,-0.0505467381379,45.927276,1.441678,-0.147682603443,3,3
2021,WAS,12,-3.29402775695,-0.274502313079,-0.382608972873,25.131913,1.8039665,-0.267514485303,2,6
2024,NYJ,12,-3.31483591315,-0.276236326096,-0.211558101435,144.49454,5.347091,-0.0210238867421,2,4
2021,NO,11,-3.32309906493,-0.302099914994,-0.00574436680365,52.007353,1.45353,-0.321715296316,3,4
2025,CAR,12,-3.33613276319,-0.278011063599,-0.210283972766,49.652607,2.2269455,-0.107049152383,1,3
2016,CAR,8,-3.38787407083,-0.423484258854,-0.114255209731,98.82716,6.0338385,-0.171118980766,1,3
2017,CIN,9,-3.40611857648,-0.378457619609,-0.575556595768,94.369565,2.457469,-0.119063308045,1,3
2022,LA,11,-3.50377547681,-0.318525043346,-0.408175011967,143.524929,2.345258,-0.208901263467,0,5
2024,HOU,13,-3.52919093836,-0.271476226028,-0.33254247806,115.8514,2.918752,-0.108155036548,3,5
2018,MIN,9,-3.5391904265,-0.393243380722,-0.72872577792,115.289376,6.799097,-0.0758055766805,2,5
2025,NO,12,-3.59100111834,-0.299250093195,-0.198543069867,53.750952,2.178458,-0.34504462741,3,4
2024,CAR,12,-3.67279703474,-0.306066419562,-0.360083332867,57.275261,2.4996545,-0.222986365211,2,6
2024,NE,10,-3.67569225944,-0.367569225944,-0.115960702399,55.137544,3.9802275,-0.146309911926,2,3
2018,MIA,12,-3.72476020432,-0.310396683693,-0.38282943031,83.501685,1.7590165,-0.285705107429,1,5
2025,NYJ,12,-3.7449252337,-0.312077102808,-0.504926689734,46.944276,2.157593,-0.318479526194,1,6
2020,PIT,12,-3.83044321919,-0.319203601599,-0.256383984033,85.932155,1.8023555,-0.218405857987,2,6
2022,CAR,12,-3.84293761263,-0.320244801052,-0.366257101104,77.318504,2.198331,-0.171816811313,1,3
2016,NYG,10,-3.91247088856,-0.391247088856,-0.300981633488,84.992087,4.272272,-0.222303910068,1,4
2022,DEN,12,-3.91269927442,-0.326058272868,-0.350550542039,120.048335,1.9890375,-0.281975072777,3,5
2017,IND,10,-4.01495355031,-0.401495355031,-0.257455049618,59.874736,1.622105,-0.328190483935,1,4
2025,CIN,14,-4.03563180855,-0.288259414896,-0.381642529131,178.739889,2.4542625,-0.187779980028,2,7
2021,ATL,11,-4.06668324804,-0.369698477095,-0.130116980178,88.344835,2.97074,-0.233470750773,1,3
2018,WAS,11,-4.11420122251,-0.374018292956,-0.497667964352,86.384845,1.725271,-0.401913151403,1,5
2017,NYG,12,-4.18528985195,-0.348774154329,-0.16315604076,74.915201,1.627663,-0.31879419085,1,3
2018,DET,9,-4.24669291511,-0.471854768346,-0.948569378328,87.917877,3.399549,-0.349066166948,2,5
2019,MIA,11,-4.33153113522,-0.393775557747,-0.295073924792,60.716185,2.809695,-0.355990367679,1,5
2019,WAS,9,-4.36603137123,-0.485114596803,-0.665174751579,36.704568,1.253422,-0.459960973752,1,5
2023,LAC,12,-4.4522730833,-0.371022756942,-0.187667595402,134.670194,1.887255,-0.215866346926,2,4
2022,NE,11,-4.45688449496,-0.405171317724,-0.371276299983,90.988927,5.76649,-0.220417721489,2,5
2024,CHI,9,-4.48600014878,-0.498444460976,-0.510424412704,89.670567,7.075959,-0.208858240251,1,5
2020,LA,10,-4.5166541167,-0.45166541167,-0.757133218652,125.047438,2.5353445,-0.148555704538,1,6
