season,player_id,player_display_name,position,team,games_played,age,years_exp,draft_number,value_score,value_epa_total,position_season_percentile,salary_millions,salary_source,contract_player,contract_team,year_signed,years,apy,apy_cap_pct,inflated_apy,value_per_million,epa_per_million,salary_percentile,value_cost_percentile_gap,expected_value_given_salary,value_above_expected_salary,salary_efficiency_percentile,salary_efficiency_tier,has_salary,salary_match_status,salary_interpretation
2021,00-0033594,Chris Carson,RB,SEA,4,27,4,249,0.195243126259,-2.25861249887,0.573643410853,8.602767,inflated_apy,Chris Carson,Seahawks,2021,2,5.2125,0.029,8.602767,0.0226953869911,-0.262544888043,0.887096774194,-0.313453363341,-0.069701371594,0.264944497853,0.540322580645,Average,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033611,Ricky Seals-Jones,TE,WAS,11,26,4,,-1.01242633921,-6.2138479329,0.0733944954128,1.633907,inflated_apy,Ricky Seals-Jones,Commanders,2021,1,0.99,0.005,1.633907,-0.619635229676,-3.80306096546,0.389423076923,-0.31602858151,-0.145119141583,-0.867307197631,0.0865384615385,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033658,Blake Jarwin,TE,DAL,8,27,4,,-0.632372213594,-1.3517085074,0.201834862385,8.358224,inflated_apy,Blake Jarwin,Cowboys,2020,4,5.5,0.028,8.358224,-0.0756586822265,-0.16172197675,0.807692307692,-0.605857445307,0.079863008282,-0.712235221876,0.105769230769,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033662,Cooper Rush,QB,DAL,4,28,4,,-0.160258112706,7.40796840786,0.578947368421,1.613277,inflated_apy,Cooper Rush,Cowboys,2021,2,0.9775,0.005,1.613277,-0.0993370095192,4.59187629146,0.0877192982456,0.491228070175,-0.748391416615,0.588133303909,0.771929824561,Above Average,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033681,Keelan Cole,WR,NYJ,14,28,4,,-0.238815295076,7.28159438391,0.509803921569,9.07726,inflated_apy,Keelan Cole,Jets,2021,1,5.5,0.03,9.07726,-0.0263091830658,0.802179774944,0.826633165829,-0.316829244261,0.344776533003,-0.583591828079,0.226130653266,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033699,Austin Ekeler,RB,LAC,16,26,4,,0.247116690077,-1.5593969961,0.604651162791,9.308022,inflated_apy,Austin Ekeler,Chargers,2020,4,6.125,0.031,9.308022,0.0265487866356,-0.167532585988,0.911290322581,-0.30663915979,0.514127309695,-0.267010619618,0.306451612903,Below Average,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033725,Corey Clement,RB,DAL,11,27,4,,-0.14286843736,-6.81609476054,0.37984496124,1.633907,inflated_apy,Corey Clement,Cowboys,2021,1,0.99,0.005,1.633907,-0.0874397608676,-4.17165405408,0.435483870968,-0.0556389097274,-0.162410988069,0.0195425507087,0.443548387097,Below Average,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033733,Greg Ward,WR,PHI,10,26,4,,-0.0721069051907,10.6431241172,0.588235294118,1.402849,inflated_apy,Greg Ward,Eagles,2021,1,0.85,0.005,1.402849,-0.0514003326022,7.58679238975,0.238693467337,0.349541826781,-0.296317320651,0.22421041546,0.72864321608,Average,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033757,Robert Tonyan,TE,GB,8,27,4,,0.318389729616,10.8116566996,0.743119266055,5.584991,inflated_apy,Robert Tonyan,Packers,2021,1,3.384,0.019,5.584991,0.05700810075,1.93584138266,0.764423076923,-0.021303810868,-0.0265004534092,0.344890183025,0.788461538462,Above Average,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033839,Dede Westbrook,WR,MIN,15,28,4,110,-0.69464847664,-1.90988538676,0.225490196078,1.860838,inflated_apy,Dede Westbrook,Vikings,2021,1,1.1275,0.006,1.860838,-0.373298737795,-1.02635768765,0.48743718593,-0.261946989851,0.0266110226854,-0.721259499326,0.13567839196,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
