overall_rank,player_id,player_display_name,position,primary_team_2025,predicted_2026_fantasy_points_ppr,prediction_interval_low,prediction_interval_high,replacement_points,vorp,vorp_low,vorp_high,auction_value,adp,adp_formatted,adp_overall_rank,edge_vs_adp,bye,adp_total_drafts,adp_window_end,is_rookie_projection
281,00-0040888,Adam Randall,RB,BAL,45.6066126515,0,87.7321829343,128.207979266,-82.6013666145,-128.207979266,-40.4757963317,1,,,,,,,,True
282,00-0033307,Kendrick Bourne,WR,SF,51.8902863735,0,128.238129957,134.583314587,-82.6930282135,-134.583314587,-6.34518463,1,,,,,,,,False
283,00-0040586,Jaydon Blue,RB,DAL,45.0872239657,0,122.165158572,128.207979266,-83.1207553003,-128.207979266,-6.042820694,1,,,,,,,,False
284,00-0037666,Jalen Tolbert,WR,DAL,51.2832371394,0,127.08178132,134.583314587,-83.3000774476,-134.583314587,-7.501533267,1,,,,,,,,False
285,00-0041524,Will Kacmarek,TE,MIA,44.7500710373,15.0278786097,74.7339801278,128.111253946,-83.3611829087,-113.083375336,-53.3772738182,1,,,,,,,,True
286,00-0031610,Darren Waller,TE,MIA,44.5889255928,0,121.211177879,128.111253946,-83.5223283532,-128.111253946,-6.900076067,1,,,,,,,,False
287,00-0041503,Nate Boerkircher,TE,JAX,44.4923401669,12.3030477542,76.5352930872,128.111253946,-83.6189137791,-115.808206192,-51.5759608588,1,,,,,,,,True
288,00-0039041,Elijah Higgins,TE,ARI,44.2985127407,0,119.945144728,128.111253946,-83.8127412053,-128.111253946,-8.166109218,1,,,,,,,,False
289,00-0038794,Jaleel McLaughlin,RB,DEN,44.2932409637,0,120.051676379,128.207979266,-83.9147383023,-128.207979266,-8.156302887,1,,,,,,,,False
290,00-0035249,Josh Oliver,TE,MIN,43.3996145524,0,119.205918082,128.111253946,-84.7116393936,-128.111253946,-8.905335864,1,,,,,,,,False
291,00-0038979,Cedric Tillman,WR,CLE,49.4742846602,0,125.616128037,134.583314587,-85.1090299268,-134.583314587,-8.96718655,1,,,,,,,,False
292,00-0032392,Austin Hooper,TE,NE,42.9517096827,0,118.629566581,128.111253946,-85.1595442633,-128.111253946,-9.481687365,1,,,,,,,,False
293,00-0041443,Skyler Bell,WR,BUF,49.243889171,3.21681927085,92.1667117466,134.583314587,-85.339425416,-131.366495316,-42.4166028404,1,,,,,,,,True
294,00-0036988,Josh Palmer,WR,BUF,49.1718672625,0,124.92844296,134.583314587,-85.4114473245,-134.583314587,-9.654871627,1,,,,,,,,False
295,00-0030564,DeAndre Hopkins,WR,BAL,48.7278614878,0,125.041647667,134.583314587,-85.8554530992,-134.583314587,-9.54166692,1,,,,,,,,False
296,00-0039424,Devaughn Vele,WR,NO,48.2051785323,0,124.326092302,134.583314587,-86.3781360547,-134.583314587,-10.257222285,1,,,,,,,,False
297,00-0037805,Jeremy Ruckert,TE,NYJ,41.5507736966,0,117.198512098,128.111253946,-86.5604802494,-128.111253946,-10.912741848,1,,,,,,,,False
298,00-0041397,Kaden Wetjen,WR,PIT,48.0203323792,0,94.6324125815,134.583314587,-86.5629822078,-134.583314587,-39.9509020055,1,,,,,,,,True
299,00-0041069,Colbie Young,WR,CIN,47.9874829744,7.71753595974,86.5833413681,134.583314587,-86.5958316126,-126.865778627,-47.9999732189,1,,,,,,,,True
300,00-0033110,Tyler Higbee,TE,LA,41.4024180751,0,117.127326907,128.111253946,-86.7088358709,-128.111253946,-10.983927039,1,,,,,,,,False
301,00-0041067,Bryce Lance,WR,NOR,47.6503863005,5.15197320988,87.7137674566,134.583314587,-86.9329282865,-129.431341377,-46.8695471304,1,,,,,,,,True
302,00-0039912,Ben Sinnott,TE,WAS,40.7047813864,0,116.780235769,128.111253946,-87.4064725596,-128.111253946,-11.331018177,1,,,,,,,,False
303,00-0040238,LeQuint Allen Jr.,RB,JAX,40.7137882033,0,116.587304845,128.207979266,-87.4941910627,-128.207979266,-11.620674421,1,,,,,,,,False
304,00-0041529,Kevin Coleman Jr.,WR,MIA,47.0670918895,2.07241063878,88.7879696057,134.583314587,-87.5162226975,-132.510903948,-45.7953449813,1,,,,,,,,True
305,00-0039920,Malachi Corley,WR,CLE,46.1671083635,0,122.380737495,134.583314587,-88.4162062235,-134.583314587,-12.202577092,1,,,,,,,,False
306,00-0041129,Jam Miller,RB,NWE,39.2019184954,1.97064221471,75.4861199002,128.207979266,-89.0060607706,-126.237337051,-52.7218593658,1,,,,,,,,True
307,00-0038738,Hunter Luepke,RB,DAL,38.6272948381,0,114.313978478,128.207979266,-89.5806844279,-128.207979266,-13.894000788,1,,,,,,,,False
308,00-0039739,Roman Wilson,WR,PIT,44.6323572447,0,120.472678121,134.583314587,-89.9509573423,-134.583314587,-14.110636466,1,,,,,,,,False
309,00-0032464,Kalif Raymond,WR,DET,44.4111871975,0,120.613727443,134.583314587,-90.1721273895,-134.583314587,-13.969587144,1,,,,,,,,False
310,00-0036637,Noah Gray,TE,KC,37.8826452075,0,113.572292548,128.111253946,-90.2286087385,-128.111253946,-14.538961398,1,,,,,,,,False
311,00-0038685,Chris Brooks,RB,GB,37.2794238992,0,113.202162677,128.207979266,-90.9285553668,-128.207979266,-15.005816589,1,,,,,,,,False
312,00-0038679,Tyrell Shavers,WR,BUF,43.630899398,0,119.411956677,134.583314587,-90.952415189,-134.583314587,-15.17135791,1,,,,,,,,False
313,00-0039405,Jawhar Jordan,RB,HOU,36.9279752039,0,112.877245561,128.207979266,-91.2800040621,-128.207979266,-15.330733705,1,,,,,,,,False
314,00-0038440,Zavier Scott,RB,MIN,36.8118902632,0,113.150767695,128.207979266,-91.3960890028,-128.207979266,-15.057211571,1,,,,,,,,False
315,00-0040142,Kaleb Johnson,RB,PIT,36.5059607202,0,113.541311111,128.207979266,-91.7020185458,-128.207979266,-14.666668155,1,,,,,,,,False
316,00-0036626,Dyami Brown,WR,JAX,42.803688447,0,118.645104728,134.583314587,-91.77962614,-134.583314587,-15.938209859,1,,,,,,,,False
317,00-0033857,JuJu Smith-Schuster,WR,KC,42.3236305729,0,118.191179487,134.583314587,-92.2596840141,-134.583314587,-16.3921351,1,,,,,,,,False
318,00-0033955,Jeremy McNichols,RB,WAS,35.357121534,0,111.267139121,128.207979266,-92.850857732,-128.207979266,-16.940840145,1,,,,,,,,False
319,00-0039355,Luke McCaffrey,WR,WAS,41.2791738811,0,117.03306438,134.583314587,-93.3041407059,-134.583314587,-17.550250207,1,,,,,,,,False
320,00-0040179,DJ Giddens,RB,IND,34.7475255224,0,110.9723192,128.207979266,-93.4604537436,-128.207979266,-17.235660066,1,,,,,,,,False
