player_id,player_display_name,position,primary_team_2025,teams_2025,games_played_2025,age_2025,years_exp_2025,draft_number,fantasy_points_ppr_2025,fantasy_points_ppr_per_game_2025,targets_2025,receptions_2025,carries_2025,value_score,predicted_2026_fantasy_points_ppr,predicted_2026_games_played,predicted_2026_ppr_per_game,projection_change_from_2025,projection_change_label,prediction_interval_low,prediction_interval_high,prediction_uncertainty,model_disagreement,fantasy_overall_rank,fantasy_position_rank,predicted_2026_overall_percentile,predicted_2026_position_percentile,fantasy_projection_tier,usage_profile,breakout_potential,slump_potential,draft_board_bucket,confidence_score,confidence_level,selected_model,selected_model_label,model_selection_reason,fantasy_note,fantasy_explanation
00-0037487,Deven Thompkins,WR,ATL,ATL,7,26,3,,6.2,0.885714285714,3,3,1,-0.497490856416,6.91402217123,5.37474126233,1.41514104169,0.714022171229,Similar to 2025,0,82.5633957969,59.1010731451,0.888512480944,433,174,0.144554455446,0.160194174757,Low Projection,Limited WR volume,Low,Low,Stable Option,76,High,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,small 2025 sample; strong sample and tighter model range; low 2025 fantasy baseline,Projects 6.9 PPR points vs 6.2 in 2025 (+0.7). Usage: Limited WR volume. Tier: Low Projection. Model: Elastic Net Total-PPR Model. Two-stage context: 5.4 projected games at 1.4 PPR/game. Reasonable model range: 0-83 PPR.
00-0039364,Sione Vaki,RB,DET,DET,8,24,1,132,0.4,0.05,0,0,1,0.296067608382,6.90573522838,4.4854217417,1.45148665901,6.50573522838,Similar to 2025,0,82.6076580514,59.1421272055,2.3756720994,434,110,0.142574257426,0.141732283465,Low Projection,Limited RB usage,Low,Low,Stable Option,62,Medium,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,low 2025 fantasy baseline,Projects 6.9 PPR points vs 0.4 in 2025 (+6.5). Usage: Limited RB usage. Tier: Low Projection. Model: Elastic Net Total-PPR Model. Two-stage context: 4.5 projected games at 1.5 PPR/game. Reasonable model range: 0-83 PPR.
00-0039363,Isaac Guerendo,RB,SF,SF,7,25,1,129,0,0,0,0,0,0.371325126916,6.89295862358,7.9155952274,2.69017028288,6.89295862358,Similar to 2025,0,83.1307416192,59.5607679653,7.43893057831,435,111,0.140594059406,0.133858267717,Low Projection,Limited RB usage,Low,Low,Volatile Depth,38,Low,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,small 2025 sample; low 2025 fantasy baseline,Projects 6.9 PPR points vs 0.0 in 2025 (+6.9). Usage: Limited RB usage. Tier: Low Projection. Model: Elastic Net Total-PPR Model. Two-stage context: 7.9 projected games at 2.7 PPR/game. Reasonable model range: 0-83 PPR.
00-0034959,Andrew Beck,RB,NYJ,NYJ,11,29,6,,23,2.09090909091,9,6,1,0.463203867159,6.6803911128,5.27959610925,1.59487876439,-16.3196088872,Similar to 2025,0,82.3886205399,59.14705424,2.49532218297,436,112,0.138613861386,0.125984251969,Low Projection,Limited RB usage,Low,Low,Stable Option,79.2,High,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,strong sample and tighter model range; low 2025 fantasy baseline,Projects 6.7 PPR points vs 23.0 in 2025 (-16.3). Usage: Limited RB usage. Tier: Low Projection. Model: Elastic Net Total-PPR Model. Two-stage context: 5.3 projected games at 1.6 PPR/game. Reasonable model range: 0-82 PPR.
00-0040649,Robbie Ouzts,RB,SEA,SEA,4,23,0,175,0,0,0,0,0,0.371325126916,5.97903035171,5.81288194416,2.14267062178,5.97903035171,Similar to 2025,0,81.9194413295,59.3284460764,5.26470524991,437,113,0.136633663366,0.11811023622,Low Projection,Limited RB usage,Low,Low,Volatile Depth,33.7,Low,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,small 2025 sample; low 2025 fantasy baseline,Projects 6.0 PPR points vs 0.0 in 2025 (+6.0). Usage: Limited RB usage. Tier: Low Projection. Model: Elastic Net Total-PPR Model. Two-stage context: 5.8 projected games at 2.1 PPR/game. Reasonable model range: 0-82 PPR.
00-0039754,Devin Culp,TE,TB,TB,4,25,1,246,7.6,1.9,1,1,0,-0.482612591278,5.5705447944,5.31972839068,1.65781821505,-2.0294552056,Similar to 2025,0,81.3080666097,59.1699389182,2.98902644998,438,93,0.134653465347,0.163636363636,Low Projection,Limited TE receiving volume,Low,Low,Stable Option,45.8,Medium,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,small 2025 sample; low 2025 fantasy baseline,Projects 5.6 PPR points vs 7.6 in 2025 (-2.0). Usage: Limited TE receiving volume. Tier: Low Projection. Model: Elastic Net Total-PPR Model. Two-stage context: 5.3 projected games at 1.7 PPR/game. Reasonable model range: 0-81 PPR.
00-0033943,Josh Reynolds,WR,NYJ,NYJ,5,30,8,117,23.1,4.62,21,11,0,-0.693615518485,5.48717768903,0,3.9205690271,-17.612822311,Similar to 2025,0,81.3933597202,59.3017047119,4.95426980158,439,175,0.132673267327,0.155339805825,Low Projection,Limited WR volume,Low,Low,Stable Option,62.1,Medium,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,small 2025 sample; low 2025 fantasy baseline,Projects 5.5 PPR points vs 23.1 in 2025 (-17.6). Usage: Limited WR volume. Tier: Low Projection. Model: Elastic Net Total-PPR Model. Two-stage context: 0.0 projected games at 3.9 PPR/game. Reasonable model range: 0-81 PPR.
00-0034983,Hunter Renfrow,WR,CAR,CAR,6,30,6,149,35.9,5.98333333333,26,15,0,-0.67140299045,4.95521250607,1.55211353935,3.92226729399,-30.9447874939,Projected regression,0,81.1514978826,59.5283479504,7.17473464568,440,176,0.130693069307,0.150485436893,Low Projection,Limited WR volume,Low,Low,Stable Option,56.1,Medium,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,small 2025 sample; low 2025 fantasy baseline,Projects 5.0 PPR points vs 35.9 in 2025 (-30.9). Usage: Limited WR volume. Tier: Low Projection. Model: Elastic Net Total-PPR Model. Two-stage context: 1.6 projected games at 3.9 PPR/game. Reasonable model range: 0-81 PPR.
00-0036842,Kene Nwangwu,RB,NYJ,NYJ,10,27,4,119,10.9,1.09,1,0,13,0.0273210587085,4.28254838126,5.34566657213,1.36174680585,-6.61745161874,Similar to 2025,0,79.9773937186,59.1365979198,2.23379073804,441,114,0.128712871287,0.110236220472,Low Projection,Limited RB usage,Low,Low,Stable Option,78.7,High,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,strong sample and tighter model range; low 2025 fantasy baseline,Projects 4.3 PPR points vs 10.9 in 2025 (-6.6). Usage: Limited RB usage. Tier: Low Projection. Model: Elastic Net Total-PPR Model. Two-stage context: 5.3 projected games at 1.4 PPR/game. Reasonable model range: 0-80 PPR.
00-0033455,Anthony Firkser,TE,DET,DET,5,30,8,,13.3,2.66,10,8,0,-0.488025317077,3.74868414282,1.88772068455,2.80419008356,-9.55131585718,Similar to 2025,0,79.4391017458,59.1331387523,2.14025844996,442,94,0.126732673267,0.154545454545,Low Projection,Limited TE receiving volume,Low,Low,Stable Option,76.6,High,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,small 2025 sample; strong sample and tighter model range; low 2025 fantasy baseline,Projects 3.7 PPR points vs 13.3 in 2025 (-9.6). Usage: Limited TE receiving volume. Tier: Low Projection. Model: Elastic Net Total-PPR Model. Two-stage context: 1.9 projected games at 2.8 PPR/game. Reasonable model range: 0-79 PPR.
00-0031687,Raheem Mostert,RB,LV,LV,12,33,10,,29.4,2.45,12,12,22,-0.277010533446,3.32816714057,1.68490229361,3.73821730136,-26.0718328594,Similar to 2025,0,79.6114932887,59.5963485532,7.71863772998,443,115,0.124752475248,0.102362204724,Low Projection,Limited RB usage,Low,Low,Stable Option,64.6,Medium,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,low 2025 fantasy baseline,Projects 3.3 PPR points vs 29.4 in 2025 (-26.1). Usage: Limited RB usage. Tier: Low Projection. Model: Elastic Net Total-PPR Model. Two-stage context: 1.7 projected games at 3.7 PPR/game. Reasonable model range: 0-80 PPR.
00-0037292,Andrew Ogletree,TE,IND,IND,11,27,3,192,12.7,1.15454545455,6,4,0,-0.510441348977,3.25928792549,6.0962601114,1.60772402512,-9.44071207451,Similar to 2025,0,79.0623942442,59.2211768115,3.87303375499,444,95,0.122772277228,0.145454545455,Low Projection,Limited TE receiving volume,Low,Low,Stable Option,66.2,Medium,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,low 2025 fantasy baseline,Projects 3.3 PPR points vs 12.7 in 2025 (-9.4). Usage: Limited TE receiving volume. Tier: Low Projection. Model: Elastic Net Total-PPR Model. Two-stage context: 6.1 projected games at 1.6 PPR/game. Reasonable model range: 0-79 PPR.
00-0039407,Dylan Laube,RB,LV,LV,17,26,1,208,5.7,0.335294117647,4,3,7,-0.154343800591,3.22136980495,7.11324342656,0.0969200096562,-2.47863019505,Similar to 2025,0,78.9746854161,59.1822778212,3.22406818106,445,116,0.120792079208,0.0944881889764,Low Projection,Limited RB usage,Low,Low,Stable Option,74.3,High,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,strong sample and tighter model range; low 2025 fantasy baseline,Projects 3.2 PPR points vs 5.7 in 2025 (-2.5). Usage: Limited RB usage. Tier: Low Projection. Model: Elastic Net Total-PPR Model. Two-stage context: 7.1 projected games at 0.1 PPR/game. Reasonable model range: 0-79 PPR.
00-0036620,Dee Eskridge,WR,MIA,MIA,11,28,4,56,10.2,0.927272727273,7,4,0,-0.403990065365,3.19037730603,5.35375407058,1.502703854,-7.00962269397,Similar to 2025,0,78.8902929883,59.1405591267,2.33630934503,446,177,0.118811881188,0.145631067961,Low Projection,Limited WR volume,Low,Low,Stable Option,86.3,High,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,strong sample and tighter model range; low 2025 fantasy baseline,Projects 3.2 PPR points vs 10.2 in 2025 (-7.0). Usage: Limited WR volume. Tier: Low Projection. Model: Elastic Net Total-PPR Model. Two-stage context: 5.4 projected games at 1.5 PPR/game. Reasonable model range: 0-79 PPR.
00-0036959,Michael Bandy,WR,DEN,DEN,4,28,4,,15,3.75,4,4,0,-0.180786903387,2.56393294321,3.24033785994,3.54640350616,-12.4360670568,Similar to 2025,0,78.6705136494,59.4582661767,6.56795434492,447,178,0.116831683168,0.140776699029,Low Projection,Limited WR volume,Low,Low,Volatile Depth,35.5,Low,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,small 2025 sample; low 2025 fantasy baseline,Projects 2.6 PPR points vs 15.0 in 2025 (-12.4). Usage: Limited WR volume. Tier: Low Projection. Model: Elastic Net Total-PPR Model. Two-stage context: 3.2 projected games at 3.5 PPR/game. Reasonable model range: 0-79 PPR.
00-0037654,Tucker Fisk,TE,LAC,LAC,4,26,3,,3.9,0.975,4,2,0,-0.662468169496,2.49238257101,4.67110554425,2.0074124646,-1.40761742899,Similar to 2025,0,78.2681439372,59.1998135673,3.53136431693,448,96,0.114851485149,0.136363636364,Low Projection,Limited TE receiving volume,Low,Low,Stable Option,49.8,Medium,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,small 2025 sample; low 2025 fantasy baseline,Projects 2.5 PPR points vs 3.9 in 2025 (-1.4). Usage: Limited TE receiving volume. Tier: Low Projection. Model: Elastic Net Total-PPR Model. Two-stage context: 4.7 projected games at 2.0 PPR/game. Reasonable model range: 0-78 PPR.
00-0036332,Josiah Deguara,TE,ARI,ARI,7,28,5,94,11.1,1.58571428571,5,3,0,-0.504219632694,2.47071900647,5.64837940653,1.55141392719,-8.62928099353,Similar to 2025,0,78.2600352956,59.2104033509,3.70465551825,449,97,0.112871287129,0.127272727273,Low Projection,Limited TE receiving volume,Low,Low,Stable Option,72.8,High,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,small 2025 sample; strong sample and tighter model range; low 2025 fantasy baseline,Projects 2.5 PPR points vs 11.1 in 2025 (-8.6). Usage: Limited TE receiving volume. Tier: Low Projection. Model: Elastic Net Total-PPR Model. Two-stage context: 5.6 projected games at 1.6 PPR/game. Reasonable model range: 0-78 PPR.
