season,team,player_seasons,total_cap_over_replacement_millions,total_value_over_replacement,total_dollar_surplus_millions,mean_dollar_surplus_millions
2024,NO,14,101.603778,1.30890286414,-81.7204172807,-5.83717266291
2017,PIT,11,109.814378,8.8608381044,-81.8742221003,-7.44311110003
2022,LV,11,92.835802,2.6142881224,-81.9936856009,-8.19936856009
2019,GB,11,103.441673,8.0220057053,-82.4005442722,-7.4909585702
2016,CAR,8,88.7697645,1.08287855364,-83.3097930834,-10.4137241354
2023,NYJ,11,65.0293155,-5.80987715137,-84.0655116522,-7.64231924111
2023,DEN,10,104.9684285,1.95335117789,-85.5791942954,-8.55791942954
2022,TB,12,90.125123,-1.75408330907,-85.6235763151,-7.13529802626
2019,IND,13,95.388442,3.28799332477,-85.6839030403,-6.59106946464
2019,PHI,9,92.431767,4.95160122935,-86.9178299074,-9.65753665637
2023,LAC,12,118.9049555,0.186649210255,-87.6152276274,-7.30126896895
2025,PHI,11,101.90043,4.55601165404,-87.6998684734,-8.76998684734
2024,HOU,13,99.765095,2.39322696064,-90.1483183954,-6.93448603042
2019,MIN,12,112.878253,9.13725552673,-90.3007814236,-7.52506511864
2025,MIN,12,95.017765,1.04434471824,-90.4676428038,-8.22433116398
2017,LV,11,104.749438,2.41266472492,-90.5896262006,-8.23542056369
2017,ATL,10,118.045587,7.97855462852,-92.38437256,-9.238437256
2023,PHI,10,135.7535925,7.18862626285,-92.6022424791,-9.26022424791
2023,NO,11,118.0287875,3.55864599824,-93.2979331791,-8.48163028901
2024,MIA,11,141.924363,5.75460309283,-97.4909190293,-8.86281082084
2019,LA,11,129.911353,4.75995266069,-99.0749222672,-9.0068111152
2024,NYJ,12,129.634259,3.06034589364,-108.146652522,-9.01222104348
2024,JAX,14,137.688431,1.3141991442,-114.913415906,-8.20810113613
2024,PHI,10,172.547805,10.9295935017,-122.18586946,-12.218586946
2024,DAL,14,125.575811,-2.05037540819,-133.664622565,-9.54747304034
