player_id,player_display_name,position,rookie_year,draft_number,draft_club,college,predicted_p_plays_meaningfully,predicted_ppr_per_game_if_plays_mean,predicted_games_played,predicted_season_ppr_mean,predicted_season_ppr_p10,predicted_season_ppr_p25,predicted_season_ppr_p75,predicted_season_ppr_p90
00-0041042,Malachi Fields,WR,2026,74,NYG,Notre Dame,0.980312115633,7.10822629704,10.8796602281,77.7226709303,25.8907751354,51.3220715128,103.847885453,127.428109807
00-0041044,Zachariah Branch,WR,2026,79,ATL,Georgia,0.993894113681,6.55325067218,11.0303954089,72.7967483086,21.1687877924,46.1878841076,98.3211144308,122.582921308
00-0041052,Kaelon Black,RB,2026,90,SFO,Indiana,0.950525941159,6.99431967644,10.2793164016,72.6580809776,18.7784889911,42.98036397,100.948187208,126.782643784
00-0041051,Zavion Thomas,WR,2026,89,CHI,LSU,0.990173269164,6.46635689487,10.9891008829,71.6216783501,22.5222456681,45.0558863269,96.4158262537,121.271811882
00-0041525,Chris Bell,WR,2026,94,MIA,Louisville,0.97935988782,6.37868063361,10.8690922519,69.9931167904,18.8109537213,42.912905832,96.486109854,119.736640488
00-0040878,Mike Washington Jr.,RB,2026,122,LVR,Arkansas,0.916830565267,6.29275269657,9.91492294844,63.3706760441,9.99417637499,35.6541669767,89.3600533255,112.421308267
00-0041013,Emmett Johnson,RB,2026,161,KAN,Nebraska,0.889635083597,6.44338669372,9.62082160025,62.7667964163,12.0870816307,35.4794568309,87.1921837902,112.518561303
00-0040876,Elijah Sarratt,WR,2026,115,BAL,Indiana,0.921730727217,5.95254567058,10.2295146352,61.5852329244,13.6609836327,36.5326746185,85.0445881445,106.809778617
00-0041056,Cade Klubnik,QB,2026,110,NYJ,Clemson,0.552669010171,10.5563331854,5.69336805715,60.2732156352,23.2771587865,39.2776911759,79.0775995335,99.7066529529
00-0041483,Eli Stowers,TE,2026,54,PHI,Vanderbilt,0.984534728743,5.94270084191,9.98032382283,59.3682412427,27.6309975353,42.2923369949,76.0035325518,91.1856689936
00-0041070,Reggie Virgil,WR,2026,143,ARI,Texas Tech,0.860432608357,6.0720714223,9.54921833446,58.698312125,14.9367896554,34.4120345536,81.124613054,101.724720488
00-0040886,Nicholas Singleton,RB,2026,165,TEN,Penn St.,0.880188912634,5.99424119831,9.51866743916,58.169237084,8.40544504085,31.084590197,81.8486925471,104.550511765
00-0041472,Marlin Klein,TE,2026,59,HOU,Michigan,0.97485564684,5.78320892749,9.88220603288,57.2192157814,26.247523019,40.9169290438,73.3444492949,88.0378575182
00-0041395,Eli Raridon,TE,2026,95,NWE,Notre Dame,0.948522641975,5.68765248602,9.61526581421,54.8356186265,23.2334052147,37.9891442993,72.2037627587,85.6513789513
00-0041510,Max Klare,TE,2026,61,LAR,Ohio St.,0.979449909847,5.50942839754,9.92877852159,54.7939131613,23.9985974658,38.7701445975,70.6970164862,85.420310996
00-0041104,Demond Claiborne,RB,2026,198,MIN,Wake Forest,0.806874503006,6.00028657075,8.72582004728,53.4229256194,8.3940894481,28.6417570508,75.9016782611,97.6382317238
00-0041041,Oscar Delp,TE,2026,73,NOR,Georgia,0.956054954697,5.32071831534,9.69162159721,51.7077037141,21.7807757354,35.2288208675,67.4970140683,82.1228560643
00-0041443,Skyler Bell,WR,2026,125,BUF,Connecticut,0.883336577443,4.88141269611,9.80341023678,49.243889171,3.21681927085,24.2721542831,71.0583867663,92.1667117466
00-0041397,Kaden Wetjen,WR,2026,121,PIT,Iowa,0.942526934322,4.38801368638,10.4603142588,48.0203323792,0,19.6957148782,71.2656592072,94.6324125815
00-0041069,Colbie Young,WR,2026,140,CIN,Georgia,0.782853756056,5.43492217653,8.68823585708,47.9874829744,7.71753595974,27.0722546297,67.9032362175,86.5833413681
00-0041067,Bryce Lance,WR,2026,136,NOR,North Dakota St.,0.818647418933,5.14691687675,9.08547963711,47.6503863005,5.15197320988,24.3606008065,68.4353815619,87.7137674566
00-0041096,Kaytron Allen,RB,2026,187,WAS,Penn St.,0.777825273707,5.44989370764,8.41167163085,47.1231493974,2.57140650092,23.8067873307,67.8493258685,89.6994208274
00-0041529,Kevin Coleman Jr.,WR,2026,177,MIA,Missouri,0.85456081125,4.82079064571,9.48405219357,47.0670918895,2.07241063878,22.8453255713,68.4546438025,88.7879696057
00-0040888,Adam Randall,RB,2026,174,BAL,Clemson,0.798636131919,5.09411316154,8.63672745193,45.6066126515,0,21.0383992392,66.1424811338,87.7321829343
