player_id,player_display_name,position,primary_team_2025,teams_2025,games_played_2025,age_2025,years_exp_2025,draft_number,fantasy_points_ppr_2025,fantasy_points_ppr_per_game_2025,targets_2025,receptions_2025,carries_2025,value_score,predicted_2026_fantasy_points_ppr,predicted_2026_games_played,predicted_2026_ppr_per_game,projection_change_from_2025,projection_change_label,prediction_interval_low,prediction_interval_high,prediction_uncertainty,model_disagreement,fantasy_overall_rank,fantasy_position_rank,predicted_2026_overall_percentile,predicted_2026_position_percentile,fantasy_projection_tier,usage_profile,breakout_potential,slump_potential,draft_board_bucket,confidence_score,confidence_level,selected_model,selected_model_label,model_selection_reason,fantasy_note,fantasy_explanation,predicted_p_plays_meaningfully,is_rookie_projection
00-0040277,Jahdae Walker,WR,CHI,CHI,6,23,0,,26.7,4.45,10,6,0,-0.202310391935,40.461050908,4.88949371646,3.75744383076,13.761050908,Similar to 2025,0,117.43853891,60.1386625016,11.1584647246,340,142,0.413494809689,0.414937759336,Depth/Volatile,Limited WR volume,Low,Low,Volatile Depth,19.9,Low,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,small 2025 sample; low 2025 fantasy baseline; wide projection range,Projects 40.5 PPR points vs 26.7 in 2025 (+13.8). Usage: Limited WR volume. Tier: Depth/Volatile. Model: Elastic Net Total-PPR Model. Two-stage context: 4.9 projected games at 3.8 PPR/game. Reasonable model range: 0-117 PPR.,,False
00-0040218,Jimmy Horn Jr.,WR,CAR,CAR,10,23,0,208,28.7,2.87,15,11,8,-0.151983489777,40.2592760894,11.4830320352,3.28902269418,11.5592760894,Similar to 2025,0,116.097583345,59.2486775433,4.27298469038,341,143,0.411764705882,0.410788381743,Depth/Volatile,Limited WR volume,Low,Low,Stable Option,46.3,Medium,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,low 2025 fantasy baseline,Projects 40.3 PPR points vs 28.7 in 2025 (+11.6). Usage: Limited WR volume. Tier: Depth/Volatile. Model: Elastic Net Total-PPR Model. Two-stage context: 11.5 projected games at 3.3 PPR/game. Reasonable model range: 0-116 PPR.,,False
00-0037741,Jahan Dotson,WR,PHI,PHI,15,25,3,16,50.2,3.34666666667,36,18,0,-1.36285199494,39.7167078329,7.60357540306,5.19841272491,-10.4832921671,Similar to 2025,0,115.45576126,59.1711354903,3.01262057691,342,144,0.410034602076,0.406639004149,Depth/Volatile,Limited WR volume,Low,Low,Stable Option,79.4,High,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,strong sample and tighter model range; low 2025 fantasy baseline,Projects 39.7 PPR points vs 50.2 in 2025 (-10.5). Usage: Limited WR volume. Tier: Depth/Volatile. Model: Elastic Net Total-PPR Model. Two-stage context: 7.6 projected games at 5.2 PPR/game. Reasonable model range: 0-115 PPR.,,False
00-0041129,Jam Miller,RB,NWE,,0,,0,245,,,,,,,39.2019184954,7.19186311027,5.2763444634,,Rookie — no 2025 comparison,1.97064221471,75.4861199002,28.7169834709,,343,87,0.40830449827,0.381294964029,Depth/Volatile,Rookie RB — no NFL usage yet,Low,Low,Volatile Depth,42.2,Low,rookie_bayes_hurdle,Bayesian Rookie Hurdle Model,"Rookie with no prior NFL data; projected from draft capital, age, physical profile, and incumbent context via a hierarchical Bayesian hurdle model (P(plays meaningfully) x PPR/game if he plays).","rookie season, no NFL track record",Rookie projection (245 overall pick): 39.2 PPR points in 2026. Modeled 67% chance of playing a meaningful role (4+ games). Two-stage context: 7.2 projected games at 5.3 PPR/game if he plays. Reasonable model range: 2-75 PPR. No 2025 NFL history to compare against.,0.665029870126,True
00-0040009,Savion Williams,WR,GB,GB,12,24,0,87,25.5,2.125,10,10,11,-0.690755690344,38.985062411,7.21262650283,3.68955728882,13.485062411,Similar to 2025,0,115.275875652,59.6021978446,7.76367151803,344,145,0.406574394464,0.402489626556,Depth/Volatile,Limited WR volume,Low,Low,Volatile Depth,37.1,Low,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,low 2025 fantasy baseline,Projects 39.0 PPR points vs 25.5 in 2025 (+13.5). Usage: Limited WR volume. Tier: Depth/Volatile. Model: Elastic Net Total-PPR Model. Two-stage context: 7.2 projected games at 3.7 PPR/game. Reasonable model range: 0-115 PPR.,,False
00-0040259,Gage Larvadain,WR,CLE,CLE,13,22,0,,14.4,1.10769230769,14,7,1,-0.8615585187,38.661648635,7.45894809519,2.68452991728,24.261648635,Similar to 2025,0,115.478879816,60.0134618603,10.4627057679,345,146,0.404844290657,0.398340248963,Depth/Volatile,Limited WR volume,Low,Low,Volatile Depth,33.4,Low,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,low 2025 fantasy baseline; wide projection range,Projects 38.7 PPR points vs 14.4 in 2025 (+24.3). Usage: Limited WR volume. Tier: Depth/Volatile. Model: Elastic Net Total-PPR Model. Two-stage context: 7.5 projected games at 2.7 PPR/game. Reasonable model range: 0-115 PPR.,,False
00-0038738,Hunter Luepke,RB,DAL,DAL,14,25,2,,37,2.64285714286,15,13,16,0.62790908412,38.6272948381,8.86944780287,3.80411989039,1.62729483808,Similar to 2025,0,114.313978478,59.1302215941,2.05808486074,346,88,0.403114186851,0.374100719424,Depth/Volatile,Limited RB usage,Low,Low,Stable Option,74.7,High,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,strong sample and tighter model range; low 2025 fantasy baseline,Projects 38.6 PPR points vs 37.0 in 2025 (+1.6). Usage: Limited RB usage. Tier: Depth/Volatile. Model: Elastic Net Total-PPR Model. Two-stage context: 8.9 projected games at 3.8 PPR/game. Reasonable model range: 0-114 PPR.,,False
00-0033869,Mitchell Trubisky,QB,BUF,BUF,4,31,8,2,31.12,7.78,0,0,9,0.0688060789852,38.1065185401,3.45406740182,8.59337996019,6.98651854008,Similar to 2025,0,113.93781796,59.2432026721,4.19638777752,347,48,0.401384083045,0.308823529412,Depth/Volatile,QB production profile,Low,Low,Stable Option,60.8,Medium,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,small 2025 sample; low 2025 fantasy baseline,Projects 38.1 PPR points vs 31.1 in 2025 (+7.0). Usage: QB production profile. Tier: Depth/Volatile. Model: Elastic Net Total-PPR Model. Two-stage context: 3.5 projected games at 8.6 PPR/game. Reasonable model range: 0-114 PPR.,,False
00-0032211,Tyler Lockett,WR,LV,LV/TEN,17,33,10,69,67.1,3.94705882353,55,32,0,-1.01796079281,37.9352198094,7.14579920638,3.74692379774,-29.1647801906,Similar to 2025,0,113.899018526,59.3467177476,5.46676457696,348,147,0.399653979239,0.394190871369,Depth/Volatile,Limited WR volume,Low,Low,Stable Option,78.9,High,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,strong sample and tighter model range; low 2025 fantasy baseline,Projects 37.9 PPR points vs 67.1 in 2025 (-29.2). Usage: Limited WR volume. Tier: Depth/Volatile. Model: Elastic Net Total-PPR Model. Two-stage context: 7.1 projected games at 3.7 PPR/game. Reasonable model range: 0-114 PPR.,,False
00-0036637,Noah Gray,TE,KC,KC,14,26,4,162,38.8,2.77142857143,37,21,0,-1.07458792248,37.8826452075,10.2479949681,4.13988922891,-0.917354792532,Similar to 2025,0,113.572292548,59.1325369845,2.12356722345,349,66,0.397923875433,0.5,Starter/Flex,Limited TE receiving volume,Low,Low,Stable Option,87.1,High,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,strong sample and tighter model range; low 2025 fantasy baseline,Projects 37.9 PPR points vs 38.8 in 2025 (-0.9). Usage: Limited TE receiving volume. Tier: Depth/Volatile. Model: Elastic Net Total-PPR Model. Two-stage context: 10.2 projected games at 4.1 PPR/game. Reasonable model range: 0-114 PPR.,,False
