adp_name,position,adp_team,adp,adp_formatted,times_drafted,high,low,stdev,bye,adp_overall_rank,adp_total_drafts,adp_window_end,adp_scoring
D'Andre Swift,RB,CHI,48.4,4.12,30,37,55,4.3,10,50,943,2026-07-04,PPR
Mike Evans,WR,SF,49.1,5.01,70,36,63,7.1,8,51,943,2026-07-04,PPR
Jameson Williams,WR,DET,49.8,5.02,32,37,59,4.8,6,52,943,2026-07-04,PPR
Quinshon Judkins,RB,CLE,50.7,5.03,55,40,59,4.1,11,53,943,2026-07-04,PPR
Lamar Jackson,QB,BAL,51.8,5.04,56,22,69,12.0,13,54,943,2026-07-04,PPR
Tyler Warren,TE,IND,54.2,5.06,47,38,70,6.2,13,55,943,2026-07-04,PPR
Rome Odunze,WR,CHI,55.8,5.08,58,45,71,5.8,10,56,943,2026-07-04,PPR
DK Metcalf,WR,PIT,56.4,5.08,43,43,68,6.4,9,57,943,2026-07-04,PPR
David Montgomery,RB,HOU,57.2,5.09,71,46,68,4.8,8,58,943,2026-07-04,PPR
TreVeyon Henderson,RB,NE,59.2,5.11,62,47,70,5.4,11,59,943,2026-07-04,PPR
Dak Prescott,QB,DAL,59.8,5.12,35,49,69,5.6,14,60,943,2026-07-04,PPR
Alec Pierce,WR,IND,60.8,6.01,41,49,73,6.6,13,61,943,2026-07-04,PPR
Christian Watson,WR,GB,61.3,6.01,84,49,82,6.9,11,62,943,2026-07-04,PPR
Bhayshul Tuten,RB,JAX,61.3,6.01,62,45,73,6.2,7,63,943,2026-07-04,PPR
Carnell Tate,WR,TEN,61.7,6.02,43,51,78,5.9,9,64,943,2026-07-04,PPR
Drake Maye,QB,NE,63.2,6.03,30,43,77,8.2,11,65,943,2026-07-04,PPR
Harold Fannin Jr.,TE,CLE,64.0,6.04,45,49,87,7.3,11,66,943,2026-07-04,PPR
Jaylen Warren,RB,PIT,64.3,6.04,27,57,73,4.1,9,67,943,2026-07-04,PPR
Marvin Harrison Jr.,WR,ARI,64.7,6.05,49,48,80,7.3,14,68,943,2026-07-04,PPR
DJ Moore,WR,BUF,66.2,6.06,121,51,85,7.9,7,69,943,2026-07-04,PPR
Courtland Sutton,WR,DEN,70.1,6.10,46,57,86,6.3,10,70,943,2026-07-04,PPR
Sam LaPorta,TE,DET,70.4,6.10,32,55,87,8.5,6,71,943,2026-07-04,PPR
Michael Pittman Jr.,WR,PIT,71.5,6.11,37,61,83,6.7,9,72,943,2026-07-04,PPR
Rhamondre Stevenson,RB,NE,72.2,6.12,22,65,81,4.8,11,73,943,2026-07-04,PPR
Tony Pollard,RB,TEN,72.8,7.01,16,64,82,5.8,9,75,943,2026-07-04,PPR
Tucker Kraft,TE,GB,72.8,7.01,32,55,87,7.8,11,74,943,2026-07-04,PPR
Rico Dowdle,RB,PIT,74.1,7.02,38,63,94,7.3,9,76,943,2026-07-04,PPR
Parker Washington,WR,JAX,74.6,7.03,32,61,90,7.2,7,77,943,2026-07-04,PPR
Jadarian Price,RB,SEA,74.9,7.03,83,58,97,7.8,11,78,943,2026-07-04,PPR
Patrick Mahomes,QB,KC,75.5,7.04,24,65,97,8.5,5,79,943,2026-07-04,PPR
Justin Herbert,QB,LAC,77.9,7.06,41,55,99,8.8,7,80,943,2026-07-04,PPR
Chris Godwin Jr.,WR,TB,78.9,7.07,72,61,89,6.8,10,81,943,2026-07-04,PPR
Chuba Hubbard,RB,CAR,79.1,7.07,39,60,96,8.6,5,82,943,2026-07-04,PPR
Michael Wilson,WR,ARI,80.7,7.09,70,62,99,7.6,14,83,943,2026-07-04,PPR
Trevor Lawrence,QB,JAX,82.2,7.10,24,66,100,7.5,7,84,943,2026-07-04,PPR
Brian Thomas Jr.,WR,JAX,83.6,7.12,127,61,102,8.5,7,85,943,2026-07-04,PPR
Jayden Daniels,QB,WAS,85.0,8.01,36,69,114,10.1,7,86,943,2026-07-04,PPR
Josh Downs,WR,IND,85.3,8.01,34,66,96,8.8,13,87,943,2026-07-04,PPR
Jayden Reed,WR,GB,85.8,8.02,24,68,99,7.8,11,88,943,2026-07-04,PPR
Jordyn Tyson,WR,NO,86.2,8.02,35,66,103,8.2,8,89,943,2026-07-04,PPR
